id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
98756768,2006/09/25 8:05 AM AEST,25/09/2006,2006-09-24 22:05:00 UTC,Brisbane,412258,leithallb,2021-10-20 01:56:27 UTC,2021-10-20 01:56:27 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98756768,https://inaturalist-open-data.s3.amazonaws.com/photos/164496338/medium.jpeg,,,4262,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,Prickly Shield Fern,Arachniodes aristata,Prickly Shield fern,Plantae,369398
98758723,2006/09/25 8:06 AM AEST,25/09/2006,2006-09-24 22:06:00 UTC,Brisbane,412258,leithallb,2021-10-20 02:21:00 UTC,2021-10-20 02:21:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98758723,https://inaturalist-open-data.s3.amazonaws.com/photos/164499208/medium.jpeg,,,4263,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,open,FALSE,,,,Norfolk Island,Kawakawa,Piper excelsum,Kawakawa,Plantae,404899
98758818,2006/09/25 8:08 AM AEST,25/09/2006,2006-09-24 22:08:00 UTC,Brisbane,412258,leithallb,2021-10-20 02:22:33 UTC,2021-10-20 02:22:33 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98758818,https://inaturalist-open-data.s3.amazonaws.com/photos/164499876/medium.jpeg,,,4265,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,Melodinus baueri,Melodinus baueri,,Plantae,890341
98759314,2006/09/25 8:18 AM AEST,25/09/2006,2006-09-24 22:18:00 UTC,Brisbane,412258,leithallb,2021-10-20 02:30:31 UTC,2021-10-20 02:44:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/98759314,https://inaturalist-open-data.s3.amazonaws.com/photos/164500917/medium.jpeg,,,4274/75,1,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,長尾鐵線蕨,Adiantum diaphanum,Filmy Maidenhair,Plantae,327382
98759717,2006/09/25 8:23 AM AEST,25/09/2006,2006-09-24 22:23:00 UTC,Brisbane,412258,leithallb,2021-10-20 02:36:37 UTC,2021-10-20 02:36:37 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98759717,https://inaturalist-open-data.s3.amazonaws.com/photos/164501937/medium.jpeg,,,4278,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,Dianella intermedia,Dianella intermedia,,Plantae,1065134
98759975,2006/09/25 8:46 AM AEST,25/09/2006,2006-09-24 22:46:00 UTC,Brisbane,412258,leithallb,2021-10-20 02:39:26 UTC,2021-10-20 02:39:26 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98759975,https://inaturalist-open-data.s3.amazonaws.com/photos/164502359/medium.jpeg,,,4288,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,Bird's Nest Fern,Asplenium australasicum,Bird's nest fern,Plantae,83561
98834444,2006/09/26 3:11 PM AEST,26/09/2006,2006-09-26 05:11:00 UTC,Brisbane,412258,leithallb,2021-10-20 22:50:37 UTC,2021-11-23 09:19:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/98834444,https://inaturalist-open-data.s3.amazonaws.com/photos/164641457/medium.jpeg,,,4422,1,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,Devil's Horsewhip,Achyranthes aspera,Devil's Horsewhip,Plantae,157960
98836941,2006/09/27 8:34 AM AEST,27/09/2006,2006-09-26 22:34:00 UTC,Brisbane,412258,leithallb,2021-10-20 23:23:23 UTC,2021-10-20 23:23:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98836941,https://inaturalist-open-data.s3.amazonaws.com/photos/164645856/medium.jpeg,,,4484,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,Prickly Rasp Fern,Doodia aspera,Prickly Rasp fern,Plantae,353835
98837129,2006/09/27 8:50 AM AEST,27/09/2006,2006-09-26 22:50:00 UTC,Brisbane,412258,leithallb,2021-10-20 23:25:23 UTC,2021-11-23 09:19:32 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98837129,https://inaturalist-open-data.s3.amazonaws.com/photos/164646071/medium.jpeg,,,4496,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,Microsorum,Microsorum pustulatum,kangaroo fern,Plantae,64060
98837755,2006/09/27 9:56 AM AEST,27/09/2006,2006-09-26 23:56:00 UTC,Brisbane,412258,leithallb,2021-10-20 23:33:51 UTC,2021-10-22 09:56:08 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/98837755,https://inaturalist-open-data.s3.amazonaws.com/photos/164647044/medium.jpeg,,,4524/25,0,0,FALSE,,Norfolk Island,-29.040835,167.954712,6825,,,,6825,,,FALSE,,,,Norfolk Island,複葉耳蕨屬,Arachniodes aristata,Prickly Shield fern,Plantae,369398
