nameType,acceptedNameUsage,taxonomicStatus,scientificName,canonicalName,taxonRank
phrase name,Macrozamia sp. Acacia Creek (Forest Office 393/10) NSW Herbarium,accepted,Macrozamia sp. Acacia Creek (Forest Office 393/10) NSW Herbarium,Macrozamia sp. Acacia Creek (Forest Office 393/10),Species
scientific,Macrozamia spiralis (Salisb.) Miq.,accepted,Macrozamia spiralis (Salisb.) Miq.,Macrozamia spiralis,Species
scientific,Macrozamia stenomera L.A.S.Johnson,accepted,Macrozamia stenomera L.A.S.Johnson,Macrozamia stenomera,Species
scientific,Macrozamia viridis D.L.Jones & P.I.Forst.,accepted,Macrozamia viridis D.L.Jones & P.I.Forst.,Macrozamia viridis,Species
scientific,Equisetum arvense L.,accepted,Equisetum arvense L.,Equisetum arvense,Species
scientific,Equisetum hyemale L.,accepted,Equisetum hyemale L.,Equisetum hyemale,Species
scientific,Isoetes attenuata C.R.Marsden & Chinnock,accepted,Isoetes attenuata C.R.Marsden & Chinnock,Isoetes attenuata,Species
scientific,Isoetes australis S.Williams,accepted,Isoetes australis S.Williams,Isoetes australis,Species
scientific,Isoetes brevicula E.R.L.Johnson,accepted,Isoetes brevicula E.R.L.Johnson,Isoetes brevicula,Species
scientific,Isoetes caroli E.R.L.Johnson,accepted,Isoetes caroli E.R.L.Johnson,Isoetes caroli,Species
scientific,Isoetes coromandelina L.f.,accepted,Isoetes coromandelina L.f.,Isoetes coromandelina,Species
scientific,Isoetes coromandelina subsp. macrotuberculata C.R.Marsden,accepted,Isoetes coromandelina subsp. macrotuberculata C.R.Marsden,Isoetes coromandelina subsp. macrotuberculata,Subspecies
scientific,Isoetes cristata C.R.Marsden & Chinnock,accepted,Isoetes cristata C.R.Marsden & Chinnock,Isoetes cristata,Species
scientific,Isoetes drummondii A.Braun,accepted,Isoetes drummondii A.Braun,Isoetes drummondii,Species
scientific,Isoetes drummondii subsp. anomala C.R.Marsden & Chinnock,accepted,Isoetes drummondii subsp. anomala C.R.Marsden & Chinnock,Isoetes drummondii subsp. anomala,Subspecies
autonym,Isoetes drummondii A.Braun subsp. drummondii,accepted,Isoetes drummondii A.Braun subsp. drummondii,Isoetes drummondii subsp. drummondii,Subspecies
scientific,Isoetes elatior F.Muell. ex A.Braun,accepted,Isoetes elatior F.Muell. ex A.Braun,Isoetes elatior,Species
scientific,Isoetes gunnii A.Braun,accepted,Isoetes gunnii A.Braun,Isoetes gunnii,Species
scientific,Isoetes humilior F.Muell. ex A.Braun,accepted,Isoetes humilior F.Muell. ex A.Braun,Isoetes humilior,Species
scientific,Isoetes inflata E.R.L.Johnson,accepted,Isoetes inflata E.R.L.Johnson,Isoetes inflata,Species
scientific,Isoetes mongerensis E.R.L.Johnson,accepted,Isoetes mongerensis E.R.L.Johnson,Isoetes mongerensis,Species
scientific,Isoetes muelleri A.Braun,accepted,Isoetes muelleri A.Braun,Isoetes muelleri,Species
scientific,Isoetes pusilla C.R.Marsden & Chinnock,accepted,Isoetes pusilla C.R.Marsden & Chinnock,Isoetes pusilla,Species
phrase name,Isoetes sp. Maxwell River (S.J.Jarman HO314082) Tas. Herbarium,accepted,Isoetes sp. Maxwell River (S.J.Jarman HO314082) Tas. Herbarium,Isoetes sp. Maxwell River (S.J.Jarman HO314082),Species
scientific,Isoetes tripus A.Braun,accepted,Isoetes tripus A.Braun,Isoetes tripus,Species
scientific,Huperzia australiana (Herter) Holub,accepted,Huperzia australiana (Herter) Holub,Huperzia australiana,Species
scientific,Huperzia phlegmarioides (Gaudich.) Rothm.,accepted,Huperzia phlegmarioides (Gaudich.) Rothm.,Huperzia phlegmarioides,Species
scientific,Huperzia serrata (Thunb.) Trevis.,accepted,Huperzia serrata (Thunb.) Trevis.,Huperzia serrata,Species
scientific,Lycopodiella cernua (L.) Pic.Serm.,accepted,Lycopodiella cernua (L.) Pic.Serm.,Lycopodiella cernua,Species
scientific,Lycopodiella diffusa (R.Br.) B.Øllg.,accepted,Lycopodiella diffusa (R.Br.) B.Øllg.,Lycopodiella diffusa,Species
scientific,Lycopodiella lateralis (R.Br.) B.Øllg.,accepted,Lycopodiella lateralis (R.Br.) B.Øllg.,Lycopodiella lateralis,Species
scientific,Lycopodiella limosa Chinnock,accepted,Lycopodiella limosa Chinnock,Lycopodiella limosa,Species
scientific,Lycopodiella serpentina (Kunze) B.Øllg.,accepted,Lycopodiella serpentina (Kunze) B.Øllg.,Lycopodiella serpentina,Species
scientific,Lycopodium deuterodensum Herter,accepted,Lycopodium deuterodensum Herter,Lycopodium deuterodensum,Species
scientific,Lycopodium fastigiatum R.Br.,accepted,Lycopodium fastigiatum R.Br.,Lycopodium fastigiatum,Species
scientific,Lycopodium scariosum G.Forst.,accepted,Lycopodium scariosum G.Forst.,Lycopodium scariosum,Species
scientific,Lycopodium volubile G.Forst.,accepted,Lycopodium volubile G.Forst.,Lycopodium volubile,Species
scientific,Phlegmariurus carinatus (Desv.) Ching,accepted,Phlegmariurus carinatus (Desv.) Ching,Phlegmariurus carinatus,Species
scientific,Phlegmariurus creber (Alderw.) A.R.Field & Bostock,accepted,Phlegmariurus creber (Alderw.) A.R.Field & Bostock,Phlegmariurus creber,Species
scientific,Phlegmariurus dalhousieanus (Spring) A.R.Field & Bostock,accepted,Phlegmariurus dalhousieanus (Spring) A.R.Field & Bostock,Phlegmariurus dalhousieanus,Species
scientific,Phlegmariurus delbrueckii (Herter) A.R.Field & Bostock,accepted,Phlegmariurus delbrueckii (Herter) A.R.Field & Bostock,Phlegmariurus delbrueckii,Species
scientific,Phlegmariurus filiformis (Sw.) W.H.Wagner,accepted,Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis,Species
scientific,Phlegmariurus lockyeri (D.L.Jones & B.Gray) A.R.Field & Bostock,accepted,Phlegmariurus lockyeri (D.L.Jones & B.Gray) A.R.Field & Bostock,Phlegmariurus lockyeri,Species
scientific,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,accepted,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus phlegmaria,Species
scientific,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,accepted,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus squarrosus,Species
scientific,Phlegmariurus tetrastichoides (A.R.Field & Bostock) A.R.Field & Bostock,accepted,Phlegmariurus tetrastichoides (A.R.Field & Bostock) A.R.Field & Bostock,Phlegmariurus tetrastichoides,Species
scientific,Phlegmariurus varius (R.Br.) A.R.Field & Bostock,accepted,Phlegmariurus varius (R.Br.) A.R.Field & Bostock,Phlegmariurus varius,Species
scientific,Phylloglossum drummondii Kunze,accepted,Phylloglossum drummondii Kunze,Phylloglossum drummondii,Species
scientific,Selaginella alutacia Spring,accepted,Selaginella alutacia Spring,Selaginella alutacia,Species
scientific,Selaginella andrewsii Jermy & J.S.Holmes,accepted,Selaginella andrewsii Jermy & J.S.Holmes,Selaginella andrewsii,Species
scientific,Selaginella australiensis Baker,accepted,Selaginella australiensis Baker,Selaginella australiensis,Species
scientific,Selaginella biformis A.Braun ex Kuhn,accepted,Selaginella biformis A.Braun ex Kuhn,Selaginella biformis,Species
scientific,Selaginella brisbanensis F.M.Bailey,accepted,Selaginella brisbanensis F.M.Bailey,Selaginella brisbanensis,Species
scientific,Selaginella ciliaris (Retz.) Spring,accepted,Selaginella ciliaris (Retz.) Spring,Selaginella ciliaris,Species
scientific,Selaginella gracillima (Kunze) Spring ex Salomon,accepted,Selaginella gracillima (Kunze) Spring ex Salomon,Selaginella gracillima,Species
scientific,Selaginella kraussiana (Kunze) A.Braun,accepted,Selaginella kraussiana (Kunze) A.Braun,Selaginella kraussiana,Species
scientific,Selaginella longiciliata Hieron.,accepted,Selaginella longiciliata Hieron.,Selaginella longiciliata,Species
scientific,Selaginella longipinna Warb.,accepted,Selaginella longipinna Warb.,Selaginella longipinna,Species
scientific,Selaginella plana (Desv.) Hieron.,accepted,Selaginella plana (Desv.) Hieron.,Selaginella plana,Species
