species,canonicalName,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Match,Match2,Match3,Match4,Match5
Digitaria dolleryi B.K.Simon,Digitaria dolleryi,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria fumida S.T.Blake,Digitaria fumida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria gibbosa (R.Br.) P.Beauv.,Digitaria gibbosa,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria imbricata R.D.Webster,Digitaria imbricata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria lanceolata R.D.Webster,Digitaria lanceolata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria longiflora (Retz.) Pers.,Digitaria longiflora,native,native,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria mariannensis Merr.,Digitaria mariannensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,No,No,No,No,No
Digitaria minima R.D.Webster,Digitaria minima,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria nematostachya (F.M.Bailey) Henrard,Digitaria nematostachya,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria oraria R.D.Webster,Digitaria oraria,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria orbata Hughes,Digitaria orbata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria papposa (R.Br.) P.Beauv.,Digitaria papposa,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria radicosa (J.Presl) Miq.,Digitaria radicosa,naturalised,native,naturalised,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria setigera Roth ex Roem. & Schult.,Digitaria setigera,native,naturalised,not present,native,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,native,not present,not present,not present,No,No,No,No,No
Digitaria sharpeana B.K.Simon,Digitaria sharpeana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria stenostachya (Benth.) Hughes,Digitaria stenostachya,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria veldkampiana B.K.Simon,Digitaria veldkampiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
