Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,Source.Extinct,Source.Rediscovered.or.Synonymised
Margaranthus_solanaceus,na,na,species,,,,,,,Synonym,Margaranthus_lemmonii,"CPC (1992). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Margaritopsis_microdon,na,na,species,,,,,,,Synonym,Psychotria_cyrilli-nelsonii,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Margyricarpus_digynus,na,na,species,Rosaceae,EW,JNF,T,cham.,WP,Extinct,Margyricarpus_digynus,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Marsdenia_araujacea,na,na,species,Apocynaceae,EX,QLD,MT,cl._phan.,WP,Extinct,Marsdenia_araujacea,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Marsdenia_coronata,na,na,species,Apocynaceae,VU,QLD,MT,cl._phan.,WP,Rediscovered,Marsdenia_coronata,"Briggs, J. & Leigh, J. (1988). Rare or threatened Australian plants , rev. ed.: 1-277.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2901233
Marsdenia_tubulosa,na,na,species,Apocynaceae,EX,NFK,WT,cl._phan.,WP,Extinct,Marsdenia_tubulosa,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Masdevallia_lychiphora,na,na,species,Orchidaceae,CR,PER,WT,Epiphyte,E,Rediscovered,Masdevallia_lychiphora,"Brako, L. & Zarucchi, J.L. (1993). Catalogue of the Flowering Plants and Gymnosperms of Peru. Monographs in Systematic Botany from the Missouri Botanical Garden 45: i-xl, 1-1286.",http://orchidborealis.blogspot.com/2015/09/masdevallia-lychniphora.html
Masdevallia_menatoi,na,na,species,Orchidaceae,EN,BOL,WT,Epiphyte,E,Rediscovered,Masdevallia_menatoi,"Luer, C.A. (1983). Monograph of the genus Masdevallia 1-16: Verlag Helga Königer, Munich.",Specimens at MO.
Masdevallia_walteri,na,na,species,Orchidaceae,CR,COS,WT,Epiphyte,E,Rediscovered,Masdevallia_walteri,"Luer, C.A. (1979). Miscellaneous new species in the Pleurothallidinae. Selbyana 5: 145-194.","Hammel, B.E. & al. (2003). Manual de Plantas de Costa Rica 3: 1-884. Missouri Botanical Garden Press, St. Louis."
Matelea_balbisii,na,na,species,Apocynaceae,VU,"ARI,MXN",DT,cl._phan.,WP,Rediscovered,Matelea_balbisii,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",Misapplied in N. America
Matelea_radiata,na,na,species,Apocynaceae,EX,TEX,S,Cl._nanophan.,WP,Extinct,Matelea_radiata,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Mathieua_galanthoides,na,na,species,Amaryllidaceae,EW,PER,MT,Bulb_geophyte,HP,Extinct,Mathieua_galanthoides,"Meerow, A.W. (1987). The identities and systematic relationships of Mathieua Klotsch and Plagiolirion Baker (Amaryllidaceae). Taxon 36: 1-5.",
Maytenus_lineata,na,na,species,Celastraceae,EX,CUB,WT,Nanophan._or_phan.,WP,Extinct,Maytenus_lineata,"Borhidi, A. & Muñiz, O. (1983). Catálogo de Plantas Cubanas Amenazadas o Extinguidas: 1-85. Acad. Ci. de Cuba, La Habana.",
Maytenus_lucayana,na,na,species,Celastraceae,EW,BAH,MT,Nanophan.,WP,Extinct,Maytenus_lucayana,"Popenoe, J. (1984). Threatened plants in the Bahamas. Threatened plant newsletter 13: 11.",
Medemia_argum,na,na,species,Arecaceae,CR,"EGY,SUD",DT,Phan.,WP,Rediscovered,Medemia_argum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/","Ibrahim, H. & Baker, W.J. (2009). Medemia argun - Past, present and future. Palms; Journal of the International Palm Society 53: 9-21."
Medinilla_kandavuensis,na,na,species,Melastomataceae,EW,FIJ,WT,phan.,WP,Extinct,Medinilla_kandavuensis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Meineckia_trichogynis,na,na,species,,,,,,,Synonym,Securinega_trichogynis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melaleuca_acacioides,na,na,species,,,,,,,Synonym,Melaleuca_graminea,"Briggs, J.D. & Leigh, J.H. (1995). Rare or threatened Australian plants , rev. ed.: 1-466.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melaleuca_tuberculata,var,arenaria,var,,,,,,,Synonym,Melaleuca_arenaria,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melanthera_biflora,na,na,species,,,,,,,Synonym,Lipochaeta_ovata,"Imada, C.T., Wagner, W.L. & Herbst, D.R. (1989). Checklist of native and naturalised flowering plants of Hawai'i. Bishop Museum Occasional Papers 29: 1-87.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_adscendens,na,na,species,Rutaceae,CR,HAW,MT,Cham._or_nanophan.,WP,Rediscovered,Melicope_adscendens,"Imada, C.T., Wagner, W.L. & Herbst, D.R. (1989). Checklist of native and naturalised flowering plants of Hawai'i. Bishop Museum Occasional Papers 29: 1-87.",http://www.iucnredlist.org/details/80168163/0
Melicope_adscendens,na,na,species,,,,,,,Synonym,Pelea_adscendens,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_balloui,na,na,species,Rutaceae,CR,HAW,WT,Nanophan._or_phan.,WP,Rediscovered,Melicope_balloui,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.federalregister.gov/articles/2000/12/18/00-31078/endangered-and-threatened-wildlife-and-plants-determinations-of-prudency-and-designations-of#h-24
Melicope_balloui,na,na,species,,,,,,,Synonym,Pelea_balloui,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_degeneri,na,na,species,Rutaceae,CR,HAW,WT,phan.,WP,Rediscovered,Melicope_degeneri,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.int-res.com/articles/esr_oa/n014p061.pdf
Melicope_degeneri,na,na,species,,,,,,,Synonym,Pelea_degeneri,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_fatuhivensis,na,na,species,Rutaceae,CR,MRQ,WT,Phan.,WP,Rediscovered,Melicope_fatuhivensis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",http://www.iucnredlist.org/apps/redlist/details/37934/0
Melicope_fatuhivensis,na,na,species,,,,,,,Synonym,Pelea_fatuhivensis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_haleakalae,na,na,species,Rutaceae,EX,HAW,WT,phan.,WP,Extinct,Melicope_haleakalae,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
Melicope_lydgatei,na,na,species,Rutaceae,CR,HAW,WT,phan.,WP,Rediscovered,Melicope_lydgatei,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://ecos.fws.gov/docs/five_year_review/doc2448.pdf
Melicope_lydgatei,na,na,species,,,,,,,Synonym,Pelea_lydgatei,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_nealae,na,na,species,Rutaceae,EX,HAW,WT,Nanophan.,WP,Extinct,Melicope_nealae,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
Melicope_obovata,na,na,species,Rutaceae,EX,HAW,WT,Phan.,WP,Extinct,Melicope_obovata,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
Melicope_obovata,na,na,species,,,,,,,Synonym,Pelea_obovata,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_ovalis,na,na,species,Rutaceae,CR,HAW,WT,phan.,WP,Rediscovered,Melicope_ovalis,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.iucnredlist.org/apps/redlist/details/33557/0
Melicope_ovalis,na,na,species,,,,,,,Synonym,Pelea_ovalis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_pallida,na,na,species,Rutaceae,EW,HAW,WT,phan.,WP,Extinct,Melicope_pallida,"Imada, C.T., Wagner, W.L. & Herbst, D.R. (1989). Checklist of native and naturalised flowering plants of Hawai'i. Bishop Museum Occasional Papers 29: 1-87.",
Melicope_pallida,na,na,species,,,,,,,Synonym,Pelea_leveillei,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_pallida,na,na,species,,,,,,,Synonym,Pelea_pallida,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_quadrangularis,na,na,species,Rutaceae,CR,HAW,WT,phan.,WP,Rediscovered,Melicope_quadrangularis,"Imada, C.T., Wagner, W.L. & Herbst, D.R. (1989). Checklist of native and naturalised flowering plants of Hawai'i. Bishop Museum Occasional Papers 29: 1-87.",http://www.iucnredlist.org/details/33559/0
Melicope_quadrangularis,na,na,species,,,,,,,Synonym,Pelea_quadrangularis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_reflexa,na,na,species,Rutaceae,EX,HAW,WT,phan.,WP,Extinct,Melicope_reflexa,"Imada, C.T., Wagner, W.L. & Herbst, D.R. (1989). Checklist of native and naturalised flowering plants of Hawai'i. Bishop Museum Occasional Papers 29: 1-87.",
Melicope_reflexa,na,na,species,,,,,,,Synonym,Pelea_reflexa,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Melicope_wailauensis,na,na,species,Rutaceae,EX,HAW,WT,phan.,WP,Extinct,Melicope_wailauensis,"Imada, C.T., Wagner, W.L. & Herbst, D.R. (1989). Checklist of native and naturalised flowering plants of Hawai'i. Bishop Museum Occasional Papers 29: 1-87.",
Melicope_wailauensis,na,na,species,,,,,,,Synonym,Pelea_wailauensis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Memecylon_buxoides,na,na,species,Melastomataceae,EW,KEN,T,Nanophan.,WP,Extinct,Memecylon_buxoides,"Wickens, G.E. (1975). Flora of Tropical East Africa , Melastomataceae: 1-95.",
Menkea_draboides,na,na,species,Brassicaceae,EX,WAU,DT,ther.,A,Extinct,Menkea_draboides,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Merremia_palmata,na,na,species,Convolvulaceae,LC,"IND,PAK",S,cl._hemicr.,HP,Rediscovered,Merremia_palmata,"Nasir, Y. (1991). Threatened plants of Pakistan. Plant life of South Asia: 229-234.",http://35.187.31.9/taxon/urn:lsid:ipni.org:names:270555-1#bibliography
Mertensia_cusickii,na,na,species,,,,,,,Synonym,Mertensia_toyabensis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Meziella_trifida,na,na,species,Haloragaceae,EN,WAU,DT,cham.,WP,Rediscovered,Meziella_trifida,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2887583
Microchirita_barbata,na,na,species,Gesneriaceae,EW,cult,WT,Ther.,A,Extinct,Microchirita_barbata,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Microcorys_pimeloides,na,na,species,Lamiaceae,DD,WAU,S,Cham.,WP,Rediscovered,Microcorys_pimeloides,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2903438
Micromeria_acropolitana,na,na,species,,,,,,,Synonym,Satureja_acropolitana,"Greuter, W. (1996). Extinction in Mediterranean areas. Extinction Rates. Oxford University Press.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Mimetes_stokoei,na,na,species,Proteaceae,EX,CPP,S,Nanophan.,WP,Extinct,Mimetes_stokoei,"Hall, A.V. & Veldhuis, H.A. (1985). South African red data book: 1-160. CSIR, Pretoria.",
Mimulus_clementii,na,na,species,Phrymaceae,EW,WAU,DT,ther.,A,Extinct,Mimulus_clementii,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Mimulus_guttatus,na,na,species,,,,,,,Synonym,Mimulus_whipplei,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Mimulus_latifolius,na,na,species,,,,,,,Synonym,Mimulus_brandegeei,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Mimulus_traskiae,na,na,species,Phrymaceae,EW,CAL,S,Ther.,A,Extinct,Mimulus_traskiae,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Mirbelia_densiflora,na,na,species,Fabaceae,DD,WAU,S,cham.,WP,Rediscovered,Mirbelia_densiflora,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2917750
Mitella_nuda,na,na,species,,,,,,,Synonym,Mitella_prostrata,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Mitrasacme_palustris,na,na,species,Loganiaceae,DD,WAU,S,ther.,A,Rediscovered,Mitrasacme_palustris,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2908016
Monardella_leucocephala,na,na,species,Lamiaceae,EX,CAL,S,Ther.,A,Extinct,Monardella_leucocephala,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Monardella_pringlei,na,na,species,Lamiaceae,EX,CAL,S,Ther.,A,Extinct,Monardella_pringlei,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Monardella_venosa,na,na,species,Lamiaceae,VU,CAL,S,Ther.,A,Rediscovered,Monardella_venosa,"CPC (1992). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Monardella+venosa
Morina_subinermis,na,na,species,Caprifoliaceae,EW,TUR,G,Hemicr.,WP,Extinct,Morina_subinermis,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Musa_fitzalanii,na,na,species,Musaceae,EX,QLD,WT,Herb._phan.,WP,Extinct,Musa_fitzalanii,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Myosotis_laingii,na,na,species,Boraginaceae,EX,NZS,S,cham.,WP,Extinct,Myosotis_laingii,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Myosotis_ruscinonensis,na,na,species,Boraginaceae,EW,FRA,G,Ther.,A,Extinct,Myosotis_ruscinonensis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Myrcia_skeldingii,na,na,species,Myrtaceae,EW,JAM,WT,Nanophan._or_phan.,WP,Extinct,Myrcia_skeldingii,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Myriophyllum_sparsiflorum,na,na,species,Haloragaceae,EX,CUB,WT,Hydrocham.,WP,Extinct,Myriophyllum_sparsiflorum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Myrsine_mezii,na,na,species,Primulaceae,CR,HAW,WT,phan.,WP,Rediscovered,Myrsine_mezii,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.hawaiianencyclopedia.com/part-2.asp
Najas_flexilis,na,na,species,,,,,,,Synonym,Najas_caespitosus,"CPC (1992). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Naucleopsis_chiguila,na,na,species,Moraceae,VU,ECU,WT,phan.,WP,Rediscovered,Naucleopsis_chiguila,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",http://www.iucnredlist.org/details/45502/0
Nemesia_micrantha,na,na,species,Scrophulariaceae,EX,CPP,S,ther.,A,Extinct,Nemesia_micrantha,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Neoporteria_aricensis,na,na,species,,,,,,,Synonym,Pyrrhocactus_aricensis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Neoporteria_occulata,na,na,species,,,,,,,Synonym,Pyrrhocactus_occultus,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Neoregelia_pineliana,na,na,species,Bromeliaceae,EW,BZL,WT,Epiphyte,E,Extinct,Neoregelia_pineliana,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Neottia_ussuriensis,na,na,species,Orchidaceae,CR,PRM,G,Tuber_geophyte,HP,Rediscovered,Neottia_ussuriensis,"Borodin, A.M. & al. (1985). Krasnaya kniga SSSR: redkie i nakhodyashchiesya pod ugrozoi ischeznoveniya vidy zhivotnykh i rastenii. - izdanie vtoroe [2]: tom pervyi - vtoroi [1-2].. Lesnaya Promyshlennost, Moscow.","Skvortsov VE. 2004 (Neottia ussuriensis (Kom. et Nevski) Soo (Orchidaceae) in its locus classicus - the second record.) Byull. Mosk. Obshch. Ispyt. Prir., Biol. 109. 70-73 Rus Geog = 0 Systematics:"
Nesiota_elliptica,na,na,species,Rhamnaceae,EX,STH,WT,Phan.,WP,Extinct,Nesiota_elliptica,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Nesogenes_decumbens,na,na,species,Orobanchaceae,EW,ROD,WT,Hemicr._or_cham.,WP,Extinct,Nesogenes_decumbens,"Strahm, W. (1989). Plant red data book for Rodrigues: 1-241. Knigstein.",
Nesogenes_orerensis,na,na,species,Orobanchaceae,CR,REU,WT,Hemicr._or_cham.,WP,Rediscovered,Nesogenes_orerensis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",http://lewebpedagogique.com/reunion/la-reunion-candidate-au-patrimoine-mondial-de-l%E2%80%99unesco/
Neuracanthus_neesianus,na,na,species,Acanthaceae,EW,IND,WT,Nanophan.,WP,Extinct,Neuracanthus_neesianus,"Nayar, M.P. & Sastry, A.R.K. (eds.) (1988). Red data book of Indian plants 2: 1-268. Calcutta.",
Nevada_holmgrenii,na,na,species,,,,,,,Synonym,Smelowskia_holmgrenii,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Normania_nava,na,na,species,Solanaceae,CR,CNY,S,Ther.,A,Rediscovered,Normania_nava,BGCI News 3(7): 46,http://www.springerlink.com/content/tg6115382v8g6688/
Notanthera_heterophylla,na,na,species,Loranthaceae,EX,JNF,S,nanophan.,WP,Extinct,Notanthera_heterophylla,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Nymphaea_thermarum,na,na,species,Nymphaeaceae,EW,RWA,WT,Hemicr._or_hel.,WP,Extinct,Nymphaea_thermarum,"IUCN (2016). The IUCN Red List of Threatened Species, Version 3.1 [Accessed June, 2016]",
Oberonia_attenuata,na,na,species,Orchidaceae,EN,"NWG,QLD",WT,Epiphyte_or_lithophyte,E,Rediscovered,Oberonia_attenuata,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",http://keys.trin.org.au:8080/key-server/data/08090a09-0d0e-410b-860c-020705070e0e/media/Html/Oberonia_attenuata.htm
Ochrosia_bodenheimarum,na,na,species,Apocynaceae,CR,NWC,WT,Nanophan.,WP,Rediscovered,Ochrosia_bodenheimarum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",http://endemia.nc/flore/fiche3363
Ochrosia_brownii,na,na,species,Apocynaceae,CR,MRQ,WT,Phan.,WP,Rediscovered,Neisosperma_brownii,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",https://www.researchgate.net/publication/51881293_A_Reassessment_of_Marquesan_Ochrosia_and_Rauvolfia_Apocynaceae_with_two_new_combinations/figures?lo=1
Ochrosia_fatuhivensis,na,na,species,Apocynaceae,CR,MRQ,WT,Phan.,WP,Rediscovered,Ochrosia_fatuhivensis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",https://de.wikipedia.org/wiki/Ochrosia_fatuhivensis
Ochrosia_tahitensis,na,na,species,Apocynaceae,EX,SCI,WT,Phan.,WP,Extinct,Ochrosia_tahitensis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Odontochilus_hatusimanus,na,na,species,Orchidaceae,CR,JAP,S,Rhizome_geophyte,HP,Rediscovered,Odontochilus_hatusimanus,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/","Iwatsuki, K., Boufford, D.E. & Ohba, H. (2016). Flora of Japan IVb: 1-335. Kodansha Ltd., Tokyo."
Oeceoclades_seychellarum,na,na,species,Orchidaceae,EW,SEY,WT,Hemicr._or_cham.,WP,Extinct,Oeceoclades_seychellarum,"Robertson, S.A. (1989). Flowering Plants of Seychelles: 1-327. Royal Botanic Gardens, Kew.",
Oeceoclades_seychellarum,na,na,species,,,,,,,Synonym,Eulophia_seychellarum,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Oenothera_deltoides,na,na,species,,,,,,,Synonym,Oenothera_kleinii,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Oldenlandia_adscensionis,na,na,species,Rubiaceae,EX,ASC,T,Cham.,WP,Extinct,Oldenlandia_adscensionis,"Cronq, Q.C.B. (1980). Extinction and survival in the endangered vascular flora of Ascension island. Biological Conservation; International Quarterly Journal devoted to Scientific Protection of Plant and Animal Wildlife 17: 207-219.",
Oldenlandia_adscensionis,na,na,species,,,,,,,Synonym,Hedyotis_adscensionis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Oldenlandia_polyclada,na,na,species,Rubiaceae,VU,QLD,T,cham.,WP,Rediscovered,Oldenlandia_polyclada,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.","Halford, D.A. (1992). Review of the genus Oldenlandia L. (Rubiaceae) and related genera in Australia. Austrobaileya 3: 683-722."
Oldenlandia_sieberi,na,na,species,Rubiaceae,CR,MAU,WT,Ther_or_cham.,WP,Rediscovered,Oldenlandia_sieberi,"Bosser, J. & al. (eds.) (1976-). Flore des Mascareignes. IRD Éditions, MSIRI, RBG-Kew, Paris.",http://www.lemauricien.org/weekend/070902/mg.htm
Olearia_arida,na,na,species,Asteraceae,DD,"SOA,WAU",DT,cham.,WP,Rediscovered,Olearia_arida,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2888752
Olearia_flocktoniae,na,na,species,Asteraceae,EN,NSW,S,nanophan.,WP,Rediscovered,Olearia_flocktoniae,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2897666
Olearia_oliganthema,na,na,species,Asteraceae,EX,NSW,S,nanophan.,WP,Extinct,Olearia_oliganthema,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Onobrychis_aliacmonia,na,na,species,Fabaceae,CR,GRC,S,Hemicr._or_cham.,WP,Rediscovered,Onobrychis_aliacmonia,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",https://www.jstor.org/stable/23673829?seq=1#page_scan_tab_contents
Onobrychis_richardii,na,na,species,Fabaceae,EW,ETH,S,hemicr.,HP,Extinct,Onobrychis_richardii,"Edwards, S. & Asfaw, Z. (1992). The status of some plant resources in parts of Tropical Africa. NAPRECA monograph series 2: 1-18.",
