Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,Source.Extinct,Source.Rediscovered.or.Synonymised
Angraecum_spicatum,na,na,species,Orchidaceae,EX,REU,WT,Epiphytic_cham.,E,Extinct,Angraecum_spicatum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Angraecum_zeylanicum,na,na,species,,,,,,,Synonym,Angraecum_maheense,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Anonidium_usambarense,na,na,species,Annonaceae,EX,TAN,WT,Phan.,WP,Extinct,Anonidium_usambarense,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Anthurium_leuconeurum,na,na,species,Araceae,EW,MXT,WT,Cham.,WP,Extinct,Anthurium_leuconeurum,"Croat, T.B. (1983). A Revision of the Genus Anthurium (Araceae) of Mexico and Central America. Part I: Mexico and Middle America. Annals of the Missouri Botanical Garden 70: 1-211.",
Antidaphne_schottii,na,na,species,Santalaceae,EW,BZL,WT,Hemipar._cham.,WP,Extinct,Antidaphne_schottii,"Govaerts, R. (1995). World Checklist of Seed Plants 1(1, 2): 1-483, 529. MIM, Deurne.",
Antidesma_montanum,var,montanum,var,,,,,,,Synonym,Antidesma_discolor,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Aphyllorchis_gollani,na,na,species,Orchidaceae,CR,"CHT,WHM",G,Holomycotrophic_rhizome_geophyte,HP,Rediscovered,Aphyllorchis_gollani,"Nayar, M.P. & Sastry, A.R.K. (eds.) (1987). Red data book of Indian plants: 1-367. Calcutta.","Manilal, K.S. & Kumar, C.S. (eds.) (2004). Orchid Memories A tribute to Gunnar Seidenfaden: 1-265. Mentor Books, Calicut."
Arachnothryx_cordovana,na,na,species,,,,,,,Synonym,Rondeletia_brandegeeana,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Ardisia_marcellanum,na,na,species,Primulaceae,EW,CMN,WT,Nanophan.,WP,Extinct,Ardisia_marcellanum,"Cable, S. & Cheek, M. (1998). The plants of Mt Cameroon : a conservation checklist. 1-198. Royal Botanic Gardens, Kew",
Ardisia_marcellanum,na,na,species,,,,,,,Synonym,Ardisia_oligantha,"Cable, S. & Cheek, M. (1998). The plants of Mt Cameroon : a conservation checklist. 1-198. Royal Botanic Gardens, Kew","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Ardisia_schlechteri,na,na,species,Primulaceae,VU,"CMN,GAB",WT,Nanophan.,WP,Rediscovered,Ardisia_schlechteri,"Cable, S. & Cheek, M. (1998). The plants of Mt Cameroon : a conservation checklist. 1-198. Royal Botanic Gardens, Kew",http://www.iucnredlist.org/details/39529/0
Arenaria_livermorensis,na,na,species,Caryophyllaceae,EX,TEX,G,hel.,HP,Extinct,Arenaria_livermorensis,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",
Arenaria_serpyllifolia,na,na,species,,,,,,,Synonym,Minuartia_olonensis,"Tutin, T.G. & al. (eds.) (1995). Flora Europaea electonic dataset","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Argentipallium_spiceri,na,na,species,Asteraceae,CR,TAS,S,Cham.,WP,Rediscovered,Argentipallium_spiceri,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56251
Argentipallium_spiceri,na,na,species,,,,,,,Synonym,Helichrysum_spiceri,"Briggs, J. & Leigh, J. (1988). Rare or threatened Australian plants , rev. ed.: 1-277.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Argyreia_soutteri,na,na,species,Convolvulaceae,EX,QLD,WT,Cl._Hem.,HP,Extinct,Argyreia_soutteri,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Argyrolobium_angustissimum,na,na,species,Fabaceae,CR,CPP,S,Tuber_geophyte,HP,Rediscovered,Argyrolobium_angustissimum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",www.sanbi.org/biodiversity/Red%20List%20Oct%202007.xls
Argyrolobium_crinitum,na,na,species,Fabaceae,CR,CPP,S,Cham.,WP,Rediscovered,Argyrolobium_crinitum,"Greuter, W. (1996). Extinction in Mediterranean areas. Extinction Rates. Oxford University Press.",www.sanbi.org/biodiversity/Red%20List%20Oct%202007.xls
Argyrolobium_splendens,na,na,species,Fabaceae,CR,CPP,S,Hemicr._or_cham.,WP,Rediscovered,Argyrolobium_splendens,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",http://redlist.sanbi.org/species.php?species=283-79
Argyroxiphium_virescens,na,na,species,Asteraceae,EX,HAW,A,Cham.,WP,Extinct,Argyroxiphium_virescens,"Imada, C.T., Wagner, W.L. & Herbst, D.R. (1989). Checklist of native and naturalised flowering plants of Hawai'i. Bishop Museum Occasional Papers 29: 1-87.",
Argyroxiphium_virescens,na,na,species,,,,,,,Synonym,Argyroxiphium_forbesii,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Armeria_alpina,na,na,species,,,,,,,Synonym,Armeria_pocutica,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Armeria_arcuata,na,na,species,Plumbaginaceae,EX,POR,S,Cham.,WP,Extinct,Armeria_arcuata,"Tutin, T.G. & al. (eds.) (1995). Flora Europaea electonic dataset",
Armeria_neglecta,na,na,species,Plumbaginaceae,EW,POR,G,Hemicr.,WP,Extinct,Armeria_neglecta,"Govaerts, R. (1995). World Checklist of Seed Plants 1(1, 2): 1-483, 529. MIM, Deurne.",
Artemisia_insipida,na,na,species,Asteraceae,CR,FRA,G,Hemicr.,WP,Rediscovered,Artemisia_insipida,"Tutin, T.G. & al. (eds.) (1995). Flora Europaea electonic dataset",https://www.iucnredlist.org/species/165208/5990402
Asclepias_bicuspis,na,na,species,Apocynaceae,CR,NAT,S,Cham.,WP,Rediscovered,Asclepias_bicuspis,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",http://redlist.sanbi.org/species.php?species=2681-5
