species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Genus,family,Original_Year,Growth_Habit
Hemigenia obtusa Benth.,Hemigenia obtusa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hemigenia,Lamiaceae,1848,shrub
Hemigenia pimeleifolia F.Muell.,Hemigenia pimeleifolia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hemigenia,Lamiaceae,1868,shrub
Hemigenia royceana G.R.Guerin,Hemigenia royceana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hemigenia,Lamiaceae,2008,shrub
Hemigenia tenelliflora G.R.Guerin,Hemigenia tenelliflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hemigenia,Lamiaceae,2008,shrub
Hemigenia tichbonii K.R.Thiele & G.R.Guerin,Hemigenia tichbonii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hemigenia,Lamiaceae,2016,shrub
Hemigenia tomentosa G.R.Guerin,Hemigenia tomentosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hemigenia,Lamiaceae,2008,shrub
Hemigenia wandooana G.R.Guerin,Hemigenia wandooana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hemigenia,Lamiaceae,2008,shrub
Mentha atrolilacina B.J.Conn & D.J.Duval,Mentha atrolilacina,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Mentha,Lamiaceae,2010,herb
Microcorys cephalantha B.J.Conn,Microcorys cephalantha,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microcorys,Lamiaceae,1986,shrub
Microcorys elliptica B.J.Conn,Microcorys elliptica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microcorys,Lamiaceae,1986,shrub
Microcorys longiflora F.Muell.,Microcorys longiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microcorys,Lamiaceae,1868,shrub
Microcorys queenslandica C.T.White,Microcorys queenslandica,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microcorys,Lamiaceae,1944,shrub
Microcorys wilsoniana B.J.Conn,Microcorys wilsoniana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microcorys,Lamiaceae,1986,shrub
Muniria megalophylla (Munir) N.Streiber & B.J.Conn,Muniria megalophylla,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Muniria,Lamiaceae,1979,shrub
Muniria quadrangulata (Munir) N.Streiber & B.J.Conn,Muniria quadrangulata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Muniria,Lamiaceae,1979,shrub
Newcastelia velutina Munir,Newcastelia velutina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Newcastelia,Lamiaceae,1978,shrub
Physopsis chrysotricha (F.Muell.) Rye,Physopsis chrysotricha,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Physopsis,Lamiaceae,1876,shrub
Pityrodia byrnesii Munir,Pityrodia byrnesii,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pityrodia,Lamiaceae,1979,shrub
Pityrodia gilruthiana Munir,Pityrodia gilruthiana,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pityrodia,Lamiaceae,1979,shrub
Pityrodia iphthima K.A.Sheph.,Pityrodia iphthima,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pityrodia,Lamiaceae,2007,shrub
Pityrodia serrata Munir,Pityrodia serrata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pityrodia,Lamiaceae,1979,shrub
Plectranthus acariformis P.I.Forst.,Plectranthus acariformis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2014,herb
Plectranthus actites P.I.Forst.,Plectranthus actites,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1995,shrub
Plectranthus apricus P.I.Forst.,Plectranthus apricus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1995,shrub
Plectranthus arenicola P.I.Forst.,Plectranthus arenicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1991,shrub
Plectranthus batianoffii P.I.Forst.,Plectranthus batianoffii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2008,herb
Plectranthus bipartitus P.I.Forst.,Plectranthus bipartitus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2014,herb
Plectranthus cyanophyllus P.I.Forst.,Plectranthus cyanophyllus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1995,shrub
Plectranthus dumicola P.I.Forst.,Plectranthus dumicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1995,shrub
Plectranthus fasciculatus P.I.Forst.,Plectranthus fasciculatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1998,shrub
Plectranthus glabriflorus P.I.Forst.,Plectranthus glabriflorus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1995,herb
Plectranthus insularis P.I.Forst.,Plectranthus insularis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2011,herb
Plectranthus laetus P.I.Forst.,Plectranthus laetus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2015,herb
Plectranthus megadontus P.I.Forst.,Plectranthus megadontus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1995,shrub
Plectranthus minutus P.I.Forst.,Plectranthus minutus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1992,shrub
Plectranthus omissus P.I.Forst.,Plectranthus omissus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1992,shrub
Plectranthus pulchellus P.I.Forst.,Plectranthus pulchellus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1995,shrub
Plectranthus spectabilis S.T.Blake,Plectranthus spectabilis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1971,shrub
Plectranthus splendens P.I.Forst.,Plectranthus splendens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2014,shrub
Plectranthus thalassoscopicus P.I.Forst.,Plectranthus thalassoscopicus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,1997,shrub
Plectranthus ventosus P.I.Forst.,Plectranthus ventosus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2015,herb
Plectranthus venustus P.I.Forst.,Plectranthus venustus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Plectranthus,Lamiaceae,2011,herb
Premna pubescens Blume,Premna pubescens,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Premna,Lamiaceae,1826,tree
Premna tomentosa Willd.,Premna tomentosa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Premna,Lamiaceae,1800,tree
Prostanthera ammophila B.J.Conn,Prostanthera ammophila,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1988,shrub
Prostanthera athertoniana B.J.Conn & T.C.Wilson,Prostanthera athertoniana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,2015,shrub
Prostanthera canaliculata F.Muell.,Prostanthera canaliculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1868,shrub
Prostanthera collina Domin,Prostanthera collina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1928,shrub
Prostanthera eungella B.J.Conn & K.M.Proft,Prostanthera eungella,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,2016,shrub
Prostanthera mulliganensis B.J.Conn & T.C.Wilson,Prostanthera mulliganensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,2015,shrub
Prostanthera nanophylla B.J.Conn,Prostanthera nanophylla,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1988,shrub
Prostanthera oleoides T.C.Wilson & B.J.Conn,Prostanthera oleoides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,2015,shrub
Prostanthera patens B.J.Conn,Prostanthera patens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1984,shrub
Prostanthera petrophila B.J.Conn,Prostanthera petrophila,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1988,shrub
Prostanthera splendens B.J.Conn,Prostanthera splendens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1988,shrub
Prostanthera tozerana B.J.Conn & T.C.Wilson,Prostanthera tozerana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,2015,shrub
Prostanthera tysoniana (Carrick) B.J.Conn,Prostanthera tysoniana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1977,shrub
Prostanthera verticillaris B.J.Conn,Prostanthera verticillaris,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Prostanthera,Lamiaceae,1988,shrub
Teucrium betchei (F.Muell.) Kattari & Salmaki,Teucrium betchei,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,1883,herb
Teucrium fallax A.R.Bean,Teucrium fallax,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,2018,shrub
Teucrium fililobum Benth.,Teucrium fililobum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,1870,shrub
Teucrium irroratum A.R.Bean,Teucrium irroratum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,2018,shrub
Teucrium micranthum B.J.Conn,Teucrium micranthum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,2002,shrub
Teucrium modestum A.R.Bean,Teucrium modestum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,2018,shrub
Teucrium pilbaranum B.J.Conn,Teucrium pilbaranum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,1999,shrub
Teucrium sagittatum A.R.Bean,Teucrium sagittatum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,2018,shrub
Teucrium thieleanum B.J.Conn,Teucrium thieleanum,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Teucrium,Lamiaceae,2006,shrub
Vitex velutinifolia Munir,Vitex velutinifolia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Vitex,Lamiaceae,1987,tree
Westringia acifolia G.R.Guerin,Westringia acifolia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Westringia,Lamiaceae,2009,shrub
Westringia capitonis G.R.Guerin,Westringia capitonis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Westringia,Lamiaceae,2009,shrub
Westringia fitzgeraldensis R.W.Davis & Jobson,Westringia fitzgeraldensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Westringia,Lamiaceae,2013,shrub
Westringia parvifolia C.T.White & W.D.Francis,Westringia parvifolia,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Westringia,Lamiaceae,1922,shrub
Beilschmiedia brunnea B.Hyland,Beilschmiedia brunnea,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Beilschmiedia,Lauraceae,1989,tree
Beilschmiedia castrisinensis B.Hyland,Beilschmiedia castrisinensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Beilschmiedia,Lauraceae,1989,tree
Cassytha candida (J.Z.Weber) J.Z.Weber,Cassytha candida,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cassytha,Lauraceae,1981,climber
Cassytha flindersii (J.Z.Weber) J.Z.Weber,Cassytha flindersii,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cassytha,Lauraceae,1981,climber
Cassytha nodiflora Meisn.,Cassytha nodiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cassytha,Lauraceae,1864,climber
Cinnamomum iners (Reinw. ex Nees & T.Nees) Blume,Cinnamomum iners,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cinnamomum,Lauraceae,1823,tree
Cryptocarya brassii C.K.Allen,Cryptocarya brassii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1942,tree
Cryptocarya clarksoniana B.Hyland,Cryptocarya clarksoniana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1989,tree
Cryptocarya cocosoides B.Hyland,Cryptocarya cocosoides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1989,tree
Cryptocarya endiandrifolia Kosterm.,Cryptocarya endiandrifolia,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1968,tree
Cryptocarya glaucocarpa B.Hyland,Cryptocarya glaucocarpa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1989,tree
Cryptocarya lividula B.Hyland,Cryptocarya lividula,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1989,tree
Cryptocarya nitens (Blume) Koord. & Valeton,Cryptocarya nitens,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1851,tree
Cryptocarya putida B.Hyland,Cryptocarya putida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1989,tree
Cryptocarya saccharata B.Hyland,Cryptocarya saccharata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1989,tree
Cryptocarya smaragdina B.Hyland,Cryptocarya smaragdina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,1989,tree
Cryptocarya whiffiniana Le Cussan & B.Hyland,Cryptocarya whiffiniana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cryptocarya,Lauraceae,2007,tree
Endiandra collinsii B.Hyland,Endiandra collinsii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Endiandra,Lauraceae,1989,tree
Endiandra dielsiana Teschner,Endiandra dielsiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Endiandra,Lauraceae,1923,tree
Endiandra jonesii B.Hyland,Endiandra jonesii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Endiandra,Lauraceae,1989,tree
Endiandra limnophila B.Hyland,Endiandra limnophila,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Endiandra,Lauraceae,1989,tree
Litsea bennettii B.Hyland,Litsea bennettii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Litsea,Lauraceae,1989,tree
Utricularia albertiana R.W.Jobson & Baleeiro,Utricularia albertiana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2018,herb
Utricularia albiflora R.Br.,Utricularia albiflora,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,1810,herb
Utricularia byrneana R.W.Jobson & Baleeiro,Utricularia byrneana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2015,herb
Utricularia corneliana R.W.Jobson,Utricularia corneliana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2012,herb
Utricularia fenshamii R.W.Jobson,Utricularia fenshamii,not present,native,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2013,herb
Utricularia helix P.Taylor,Utricularia helix,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,1986,aquatic_herbs_and_ferns
Utricularia jobsonii Lowrie,Utricularia jobsonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2014,herb
Utricularia kenneallyi P.Taylor,Utricularia kenneallyi,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,1986,herb
Utricularia limmenensis R.W.Jobson,Utricularia limmenensis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2018,herb
Utricularia lowriei R.W.Jobson,Utricularia lowriei,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2013,herb
Utricularia magna R.W.Jobson & M.D.Barrett,Utricularia magna,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2018,herb
Utricularia papilliscapa R.W.Jobson & M.D.Barrett,Utricularia papilliscapa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2018,herb
Utricularia terrae-reginae P.Taylor,Utricularia terrae-reginae,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,1986,herb
Utricularia tridactyla P.Taylor,Utricularia tridactyla,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,1986,herb
Utricularia wannanii R.W.Jobson & Baleeiro,Utricularia wannanii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Utricularia,Lentibulariaceae,2015,herb
Macarthuria complanata E.M.Ross,Macarthuria complanata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Macarthuria,Limeaceae,1984,herb
Macarthuria georgeana Keighery,Macarthuria georgeana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Macarthuria,Limeaceae,1984,shrub
Bonnaya cowiei (W.R.Barker) Y.S.Liang & J.C.Wang,Bonnaya cowiei,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Bonnaya,Linderniaceae,1998,herb
Buchnera ciliata Pennell,Buchnera ciliata,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Buchnera,Linderniaceae,1943,herb
Lindernia acrandra W.R.Barker,Lindernia acrandra,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia atrata W.R.Barker,Lindernia atrata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia barkeri Wannan,Lindernia barkeri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2016,herb
Lindernia chrysoplectra W.R.Barker,Lindernia chrysoplectra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,1990,herb
Lindernia cleistandra W.R.Barker,Lindernia cleistandra,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,1990,herb
Lindernia dierythra W.R.Barker,Lindernia dierythra,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia enypniastina W.R.Barker,Lindernia enypniastina,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia eremophiloides W.R.Barker,Lindernia eremophiloides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,1990,herb
Lindernia hypandra W.R.Barker,Lindernia hypandra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,1990,herb
Lindernia hyssopoides (L.) Haines,Lindernia hyssopoides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,1771,herb
Lindernia lucrusmiana W.R.Barker,Lindernia lucrusmiana,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia macrosiphonia (F.Muell.) W.R.Barker,Lindernia macrosiphonia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,1892,herb
Lindernia murfetiana W.R.Barker,Lindernia murfetiana,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia petrensis W.R.Barker,Lindernia petrensis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia porphyrodinea W.R.Barker & M.D.Barrett,Lindernia porphyrodinea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia prolata W.R.Barker,Lindernia prolata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia pronanthera W.R.Barker,Lindernia pronanthera,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia pustulosa W.R.Barker,Lindernia pustulosa,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia robyniae W.R.Barker,Lindernia robyniae,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia scopularis W.R.Barker,Lindernia scopularis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
